name,url,score,duration,remote,adaptive,type
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"C, P, A, B"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, K, P"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P, S"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, P"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"B, P"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A, B, K, P"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A, B, P"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A, B, P, S"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, P, S, A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"P, S, K, B, A"
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A, B, P"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"B, A, P"
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"P,S,A,B"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A,B,C,P,S"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"S,B,C,P"
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A,B,P,S"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"P,B,C,A,S"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"S,B,C,P"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A,B,P,S"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,,"A,B,P,S"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A,B,P"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"AB,P"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/,130,3,Yes,Yes,"A,B,P"
